Wiitigo,9ee86bf2-6c54-4c6e-8394-eb39f98d5a85,0
Lawless Broker,1b5bfff7-aa23-42ef-af1b-bc3304bd3a17,1
Nightguard Patrol,eb360f53-0013-4c0e-b7db-d2fc8029473a,2
"Venser, the Sojourner",0bcc2c6f-90bf-45c3-a836-3fe92a0b98cf,3
Thragtusk,c30267b1-a7ea-45cd-99a8-6b0e6ddbc395,4
Sharpened Pitchfork,36c8cdec-5ca9-40b0-ba90-48966e674546,5
The Horus Heresy,f3f96749-3536-4f3e-b5e6-bfc1e989c5d9,6
Attuned Hunter,d1a4f502-86a9-49fb-9cb9-7918d13c5313,7
You Meet in a Tavern,9fddbd7a-799c-4432-810c-d839c5c354b9,8
Arcades Sabboth,175695bb-2630-4269-a407-9138c7008e81,9
Giant Caterpillar,bdc5eb8a-4531-4408-90fe-9b352d71a052,10
Drake-Skull Cameo,4a3ce135-9c2f-45bd-b2db-c0e00c50c964,11
Prodigal Pyromancer,80a98928-9465-49ed-8e82-5f6085f5e797,12
Rune of Might,5c0d507b-fc08-46cb-b092-484fa4adeef6,13
"Farideh, Devil's Chosen",55f83fa5-c77b-4a70-a6cf-2c8e196b6f3f,14
Stone Quarry,8214a439-b388-4f41-a897-725e56d23fe8,15
Armillary Sphere,e5a79706-d06a-4dac-8856-bf80a5ef3fc7,16
Wall of Frost,53670dc6-256f-416a-abea-30c48f721c66,17
Hero of the Nyxborn,9854e673-1816-4a76-b9db-bb399ac7489f,18
The Bears of Littjara,be43a643-6cb7-4bb6-a28d-8ad30b7fbb6d,19
Radha's Firebrand,1d20e461-2850-4404-838a-ad2c810100b5,20
Elite Headhunter,aa9d0279-4fe0-4228-a82f-bc3cd91500df,21
Molder Beast,d1340a63-f549-440b-aad3-14247113896a,22
Icatian Phalanx,7bc02d30-3eef-4a48-8b11-b4f37219ab3a,23
Trickster Mage,b31b2e24-1a70-48bd-8946-ff29e12c6f3d,24
News Helicopter,15717af0-30cd-4417-947a-c27cca06d93a,25
Ninja's Kunai,af6ae567-c77a-416a-b609-4df3d0dd2e18,26
Grafdigger's Cage,0a135e09-b534-4836-9a10-3a9a4a9f8c53,27
Overrun,96f9df13-3bd8-415d-b949-9b39f97fdde7,28
Hematite Golem,3cf8d47d-6ecb-424a-a908-a6501f308c8e,29
Thespian's Stage,c1394924-511a-43db-b9cd-5fb1b64c6597,30
Cryptek,60c1f854-5826-4208-88fe-12a5dae8d18b,31
Magus of the Moon,7c9bd75c-9606-4607-bfa6-d6acdee12820,32
Deathbringer Regent,3a379508-90e5-48a3-a6e9-fe4fa638edbc,33
Perimeter Captain,55631dc7-f255-4968-8594-cbe45f05fa17,34
"Yidaro, Wandering Monster",832f66fc-d5ad-48e9-9ad8-f477556e57e4,35
Astral Dragon,b5bf8b03-1f5c-46c5-a684-ae5c04630286,36
Zoetic Cavern,16964263-61fc-40f2-b206-4f69060affba,37
Elvish Farmer,40a9710e-b2f8-4746-8640-d450f58a6e49,38
Ent-Draught Basin,b2255e77-b8c3-4d20-bea4-ac08500f7b61,39
Endurance,c069406b-a34b-4b9a-831c-641e9d02927e,40
Echoing Truth,4a0ae1d3-69f7-4c95-bf31-c08c4b2565cb,41
Life Finds a Way,72137cda-ab1b-4bb7-9190-66a954c36e1e,42
Burn Down the House,d9d2dbfa-4bd5-44d5-a487-0f88c239fbbc,43
Sphinx of Lost Truths,d97b61b6-bf80-4326-a646-a1985e0b50d7,44
Magmasaur,48115601-fa00-4d33-8205-faac02997bb4,45
Conjurer's Closet,7378e998-0382-42fc-8606-c6e7fc04b6a4,46
Speaker of the Heavens,e300294d-0bbd-4d28-b2bd-c5a976de212a,47
Domineering Will,daec34ec-964f-456b-b1af-4eb4fb41c968,48
Abundance,46184f97-d5c9-4a98-9fd9-e19057ce9b7e,49
"Osgood, Operation Double",88ce4ff5-7b9e-4ef8-9a7e-9d148983b04e,50
Thundermaw Hellkite,a75f6bb4-ab06-42ca-a0df-326d9a098a26,51
Ancient Stirrings,d37704ee-5d19-4158-aca9-e788888b23da,52
The Flame of Keld,324399ed-3d6e-4b4c-8f3d-b7802e2ecadf,53
Forest,37876a70-a403-4d59-83cb-e1df8688e61c,54
Ichor Slick,113b3bd0-d8d6-4083-bf71-6f6115e0786a,55
"Samut, Vizier of Naktamun",a0f3fdb0-47ad-4df6-a95c-a2c81aaf7af5,56
Infantry Veteran,3f2b04aa-6643-4eae-9197-4acd7d3e3535,57
Kiln Fiend,6c957c94-3d2d-4b98-8990-cd8909462081,58
Orcish Conscripts,e71394f8-3038-4cad-adea-a704f004777f,59
Ugin's Nexus,94002868-a48a-4ea8-bfce-17257078f5db,60
Crash of Rhinos,e4f53ff6-f053-4872-b293-78c46ec469a2,61
Bog Imp,846f5cda-3d93-4dfd-b1c3-1dff7b814d98,62
March of the Multitudes,65c7067d-61ec-4558-b0d4-0048d2d86743,63
Blue Elemental Blast,20d666ef-39bf-4fbf-8201-5f1056539da2,64
Fiendslayer Paladin,6788d4ac-86f1-4ac5-915d-fdfe7e408443,65
Corpse Connoisseur,7d0c2e83-e4d0-46ec-9ef2-1154aa31a9aa,66
Reduce // Rubble,7657b686-116d-45a7-8856-fe56f2db14a2,67
Wild Ricochet,9852c26b-3204-49f3-97db-2061763e428e,68
Cloud Key,1b6c0ff0-9dfe-450d-aec4-37b89ecceda8,69
Algae Gharial,946e08b5-1c99-467c-abba-07ddede07a6c,70
Smuggler's Buggy,f06268a3-d092-4e4f-8a6f-922a2484bdf8,71
Rafiq of the Many,12259d86-f610-47c7-bb81-0da9bb6a2795,72
Twisted Justice,d8efa02d-c301-47e1-8cdf-26ff9e97a243,73
Fake Your Own Death,693635a6-df50-44c5-9598-0c79b45d4df4,74
Explosive Getaway,a876edac-b8c8-4994-94f5-548e0fe70fe4,75
Cyclopean Mummy,0cb28bd5-7ee4-4304-9aca-b7007e7b9a53,76
Painful Quandary,c97467f7-01a9-46c8-8e1c-7ebc5f65a0c1,77
Cloudthresher,c759c561-829d-483d-a433-fe1213f20236,78
Infinite Guideline Station,5688894a-bbec-476b-ae2e-94000be258d0,79
Hierophant Bio-Titan,be8a8e26-39cb-440a-a428-58b49ff8d017,80
Island,52bc05b9-d6c4-4cba-8c8c-2e9110804474,81
Cutthroat Negotiator,da250f2e-10f9-4626-af52-28ed70db94e5,82
Guardian of Faith,8363a43f-d9aa-4196-bde5-2d98ad377e48,83
Hornet Nest,579b6909-a2e1-45d1-aa02-9318c468f9b0,84
Mahamoti Djinn,8517578c-e15d-428f-9bb4-cf271eb9f0b9,85
Spinerock Knoll,1e5d990f-0eb4-4634-a446-7783915e8eec,86
Shamanic Revelation,b4e193e8-1127-475b-9af6-d0d0c44adf49,87
Shadowblood Ridge,093fd241-d251-41a0-8363-0b4238a9bbea,88
Regenerations Restored,3f7c35e0-b304-4b24-a8a1-5ccc4bb2aad0,89
"Squee, the Immortal",0e1f9c33-9656-41c1-8760-a46ed0171129,90
Stomp and Howl,be523140-7c68-4231-a692-7b3af417d858,91
Whirling Dervish,34c6d7fe-8a79-4066-a956-14ed7cf7a54e,92
Fyndhorn Elder,871fbead-4a9f-4e6e-ac8d-bc872176b39e,93
Temple of Epiphany,cfd24cc7-f377-4718-92be-4f41856c61de,94
Leonin Shikari,47db94ce-e9f3-4bc3-b05f-17fde1d91329,95
Kraul Harpooner,5ce45a70-7fbc-42f8-8608-980eb4aee2b8,96
Insidious Roots,61c9e0ae-38c0-4618-b664-16a9ad1661c1,97
Dark Maze,d3d68a76-c843-4c67-90a7-2f79295798d0,98
Kishla Village,9f0ff90d-7312-44df-afc5-29c768fa7758,99
Wandering Fumarole,fc537de2-a40e-4544-b499-87d558683bd4,100
Incinerating Blast,d58e20ab-c5ca-4295-884d-78efdaa83243,101
Breath of Darigaaz,c15496b0-904b-4beb-a77f-70b4378a30bc,102
Spinning Darkness,58e64a8e-84b1-416c-9fa7-8b10130dc9e9,103
Marketwatch Phantom,daf6a392-3fc4-45d1-b85d-3b1381b3ab7d,104
Mountain Valley,9558892f-c4e8-4849-8c3b-384780cfb183,105
Land's Edge,8b1fce4c-5bb1-4af8-bbfe-f60c6940fc8d,106
Wastes,60682c00-c661-4a9d-8326-f3f014a04e3e,107
"Jace, the Mind Sculptor",a5d1f66f-75b5-4a9b-8b98-f237f065de9c,108
Shauku's Minion,6e9743dc-031b-4932-80a6-1c8ec1dea069,109
"Sarkhan, Dragonsoul",59715c84-8eed-41ad-aaf9-cfcce4445254,110
Snapcaster Mage,7e41765e-43fe-461d-baeb-ee30d13d2d93,111
Scattered Groves,5ab3e653-e27f-4c64-8339-59849cdd9939,112
Dispeller's Capsule,11eeabd6-b0ba-4024-beb8-6b7ec10cdc2f,113
Rogue Kavu,61e1a445-129d-4bb9-a8b0-3f55e3e0bc58,114
Fumiko the Lowblood,0a5563a1-08c2-4a24-be07-a9014f66a126,115
Canker Abomination,f7158f78-daf3-46ff-aa5f-f8cff3a24ed5,116
Mountain,b666bcf7-abd0-4001-99ad-a08026cc9f8c,117
Urza's Tower,6aba1f0f-73b0-4898-8d07-43322e43d74e,118
Okiba-Gang Shinobi,680dd35f-afed-4bae-bd9f-ab8ae33246ff,119
Memorial to War,53920ed7-fc9a-4b50-85c8-d62de05b2390,120
Jötun Owl Keeper,2632c821-513f-4059-b073-98ff691c1117,121
Noble Vestige,dae1e55c-bdf2-4327-9f97-032c2c3c7d0c,122
Incremental Growth,bcc7d833-f71b-4ec4-aad1-07b7583bad64,123
Griffin Guide,344c8ece-80d7-4efc-badb-985fecb11761,124
Magmatic Galleon,3ba4238b-e7fb-4859-87e4-c192e7e6c047,125
Pox,254bc167-ae0d-4ab5-b139-e70d7c19b826,126
Teleportation Circle,77dc13fd-8e08-4846-87ef-0562bdd3ba93,127
Plummet,5f6acb5b-b087-4cad-b40f-2de37029847c,128
Wingblade Disciple,71de7dca-0231-4407-86a0-c7fc95f5aaa0,129
Imperious Perfect,f9f562ab-b6ca-4a0c-940c-c86cd4d96bc0,130
Nuclear Fallout,e717e4b0-a8c1-4411-b18a-1d17e7225503,131
Genju of the Spires,10cbb2e0-674b-4fd3-8a82-b4e9d07f09b6,132
Blast of Genius,7a97c6e7-affd-455a-925c-332ca6b7a6a5,133
Witch-king of Angmar,a55e6508-0b59-4573-bc4e-67b27279cfed,134
Razorjaw Oni,92a44255-2f3e-4e0b-aeab-9d2385b2afcd,135
"Sauron, Lord of the Rings",509b31d2-e4f9-445f-bdf4-37ca1a59a5ab,137
District Mascot,3171b16f-cd67-416d-be5e-5d9cccb8d0a0,138
"Vivien, Monsters' Advocate",504ebb84-7e7b-4119-a128-a9c183c5d9de,139
"Polukranos, World Eater",8b5a1182-c707-4024-9000-de57793fba0d,140
